reward_today,future_reward,delay,key_resp.keys,,k,,
27,50,21,l,,0.102564,,
15,35,13,l,,0.246753,,
67,75,119,l,,0.246753,,
11,30,7,l,,0.102564,,
49,60,89,l,,0.246753,,
40,55,62,l,,0.102564,,
78,80,162,l,,0.102564,,
67,75,119,l,,0.246753,,
11,30,7,l,,0.102564,,
78,80,162,l,,0.246753,,
49,60,89,l,,0.102564,,
40,55,62,l,,0.246753,,
15,35,13,l,,0.102564,,
27,50,21,l,,0.246753,,
67,75,119,l,,0.102564,,
78,80,162,l,,0.246753,,
11,30,7,l,,0.040564,,
27,50,21,l,,0.246753,,
40,55,62,l,,0.102564,,
15,35,13,l,,0.102564,,
49,60,89,l,,0.246753,,
67,75,119,l,,0.102564,,
49,60,89,l,,0.246753,,
78,80,162,l,,0.102564,,
15,35,13,l,,0.246753,,
40,55,62,l,,0.246753,,
11,30,7,l,,0.102564,,
27,50,21,l,,0.102564,,
78,80,162,l,,0.246753,,
67,75,119,l,,0.040564,,
15,35,13,l,,0.246753,,
27,50,21,l,,0.246753,,
40,55,62,l,,0.102564,,
49,60,89,l,,0.040564,,
11,30,7,l,,0.246753,,
40,55,62,l,,0.102564,,
15,35,13,l,,0.102564,,
78,80,162,l,,0.246753,,
27,50,21,l,,0.102564,,
67,75,119,l,,0.246753,,
49,60,89,l,,0.102564,,
11,30,7,l,,0.040564,,
27,50,21,l,,0.102564,,
15,35,13,l,,0.246753,,
11,30,7,l,,0.246753,,
78,80,162,l,,0.102564,,
67,75,119,l,,0.102564,,
49,60,89,l,,0.246753,,
40,55,62,l,,0.040564,,
27,50,21,l,,0.246753,,
15,35,13,l,,0.102564,,
11,30,7,l,,0.040564,,
67,75,119,l,,0.246753,,
78,80,162,l,,0.102564,,
49,60,89,l,,0.102564,,
40,55,62,l,,0.246753,,
67,75,119,l,,0.040564,,
40,55,62,l,,0.246753,,
78,80,162,l,,0.102564,,
27,50,21,l,,0.246753,,
49,60,89,l,,0.102564,,
11,30,7,l,,0.102564,,
15,35,13,l,,0.040564,,
67,75,119,l,,0.246753,,
15,35,13,l,,0.246753,,
11,30,7,l,,0.102564,,
27,50,21,l,,0.246753,,
40,55,62,l,,0.102564,,
49,60,89,l,,0.102564,,
78,80,162,l,,0.246753,,
78,80,162,l,,0.102564,,
67,75,119,l,,0.246753,,
15,35,13,l,,0.102564,,
27,50,21,l,,0.102564,,
49,60,89,l,,0.246753,,
40,55,62,l,,0.246753,,
11,30,7,l,,0.102564,,
40,55,62,l,,0.246753,,
49,60,89,l,,0.102564,,
78,80,162,l,,0.246753,,
15,35,13,l,,0.102564,,
67,75,119,l,,0.102564,,
11,30,7,l,,0.246753,,
27,50,21,l,,0.102564,,
49,60,89,l,,0.246753,,
78,80,162,l,,0.246753,,
11,30,7,l,,0.102564,,
40,55,62,l,,0.102564,,
15,35,13,l,,0.246753,,
67,75,119,l,,0.246753,,
27,50,21,l,,0.102564,,
40,55,62,l,,0.246753,,
15,35,13,l,,0.246753,,
11,30,7,l,,0.102564,,
49,60,89,l,,0.102564,,
78,80,162,l,,0.246753,,
27,50,21,l,,0.102564,,
67,75,119,l,,0.246753,,
27,50,21,l,,0.246753,,
11,30,7,l,,0.102564,,
78,80,162,l,,0.246753,,
11,30,7,l,,0.102564,,
15,35,13,l,,0.246753,,
27,50,21,l,,0.102564,,
67,75,119,l,,0.246753,,
40,55,62,l,,0.102564,,
49,60,89,l,,0.040564,,
40,55,62,l,,0.102564,,
67,75,119,l,,0.246753,,
78,80,162,l,,0.246753,,
49,60,89,l,,0.040564,,
11,30,7,l,,0.102564,,
27,50,21,l,,0.102564,,
15,35,13,l,,0.246753,,
67,75,119,l,,0.102564,,
78,80,162,l,,0.246753,,
49,60,89,l,,0.102564,,
40,55,62,l,,0.040564,,
15,35,13,l,,0.246753,,
11,30,7,l,,0.040564,,
27,50,21,l,,0.246753,,
15,35,13,l,,0.102564,,0.06450121
49,60,89,t,,0.040564,,
27,50,21,t,,0.001003,,
40,55,62,t,,0.002522,,
78,80,162,t,,0.006048,,
11,30,7,t,,0.000158,,
67,75,119,t,,0.001003,,
49,60,89,t,,0.000158,,
15,35,13,t,,0.002522,,
78,80,162,t,,0.006048,,
27,50,21,t,,0.040564,,
11,30,7,t,,0.001003,,
67,75,119,t,,0.000158,,
40,55,62,t,,0.040564,,
15,35,13,t,,0.006048,,
49,60,89,t,,0.002522,,
40,55,62,t,,0.001003,,
67,75,119,t,,0.002522,,
11,30,7,t,,0.000158,,
27,50,21,t,,0.006048,,
78,80,162,t,,0.040564,,
40,55,62,t,,0.000158,,
49,60,89,t,,0.001003,,
27,50,21,t,,0.040564,,
67,75,119,t,,0.006048,,
78,80,162,t,,0.002522,,
11,30,7,t,,0.006048,,
15,35,13,t,,0.000158,,
78,80,162,t,,0.040564,,
67,75,119,t,,0.001003,,
15,35,13,t,,0.002522,,
40,55,62,t,,0.040564,,
11,30,7,t,,0.000158,,
27,50,21,t,,0.001003,,
49,60,89,t,,0.002522,,
67,75,119,t,,0.006048,,
49,60,89,t,,0.040564,,
27,50,21,t,,0.001003,,
78,80,162,t,,0.000158,,
11,30,7,t,,0.002522,,
40,55,62,t,,0.006048,,
15,35,13,t,,0.001003,,
40,55,62,t,,0.006048,,
27,50,21,t,,0.000158,,
67,75,119,t,,0.002522,,
11,30,7,t,,0.001003,,
78,80,162,t,,0.040564,,
15,35,13,t,,0.006048,,
49,60,89,t,,0.002522,,
15,35,13,t,,0.000158,,
11,30,7,t,,0.000158,,
67,75,119,t,,0.001003,,
40,55,62,t,,0.040564,,
78,80,162,t,,0.002522,,
27,50,21,t,,0.006048,,
49,60,89,t,,0.006048,,
27,50,21,t,,0.002522,,
11,30,7,t,,0.000158,,
15,35,13,t,,0.001003,,
67,75,119,t,,0.040564,,
49,60,89,t,,0.002522,,
40,55,62,t,,0.000158,,
78,80,162,t,,0.006048,,
49,60,89,t,,0.001003,,
27,50,21,t,,0.040564,,
67,75,119,t,,0.006048,,
11,30,7,t,,0.002522,,
78,80,162,t,,0.000158,,
40,55,62,t,,0.001003,,
15,35,13,t,,0.040564,,
67,75,119,t,,0.000158,,
78,80,162,t,,0.001003,,
49,60,89,t,,0.006048,,
15,35,13,t,,0.002522,,
40,55,62,t,,0.006048,,
27,50,21,t,,0.001003,,
11,30,7,t,,0.000158,,
49,60,89,t,,0.002522,,
67,75,119,t,,0.040564,,
67,75,119,t,,0.001003,,
11,30,7,t,,0.000158,,
49,60,89,t,,0.002522,,
15,35,13,t,,0.006048,,
40,55,62,t,,0.040564,,
78,80,162,t,,0.002522,,
27,50,21,t,,0.040564,,
11,30,7,t,,0.006048,,
15,35,13,t,,0.000158,,
78,80,162,t,,0.001003,,
40,55,62,t,,0.002522,,
27,50,21,t,,0.000158,,
49,60,89,t,,0.246753,,
67,75,119,t,,0.001003,,
15,35,13,t,,0.006048,,
27,50,21,t,,0.002522,,
67,75,119,t,,0.006048,,
11,30,7,t,,0.001003,,
49,60,89,t,,0.040564,,
78,80,162,t,,0.000158,,
40,55,62,t,,0.006048,,
15,35,13,t,,0.002522,,
49,60,89,t,,0.040564,,
27,50,21,t,,0.001003,,
67,75,119,t,,0.000158,,
11,30,7,t,,0.000158,,
78,80,162,t,,0.001003,,
40,55,62,t,,0.006048,,
27,50,21,t,,0.040564,,
49,60,89,t,,0.002522,,
15,35,13,t,,0.001003,,
11,30,7,t,,0.002522,,
40,55,62,t,,0.000158,,
67,75,119,t,,0.006048,,
78,80,162,t,,0.006048,,
78,80,162,t,,0.001003,,
40,55,62,t,,0.000158,,
49,60,89,t,,0.002522,,
67,75,119,t,,0.001003,,
15,35,13,t,,0.006048,,
11,30,7,t,,0.000158,,
27,50,21,t,,0.040564,,
11,30,7,t,,0.002522,,
15,35,13,t,,0.001003,,
27,50,21,t,,0.002522,,
49,60,89,t,,0.006048,,
67,75,119,t,,0.000158,,
40,55,62,t,,0.002522,,
78,80,162,t,,0.040564,,
78,80,162,t,,0.001003,,
27,50,21,t,,0.000158,,
11,30,7,t,,0.006048,,
49,60,89,t,,0.001003,,
15,35,13,t,,0.000158,,
40,55,62,t,,0.002522,,
67,75,119,t,,0.006048,,
11,30,7,t,,0.002522,,
40,55,62,t,,0.001003,,
78,80,162,t,,0.001003,,
67,75,119,t,,0.002522,,
49,60,89,t,,0.006048,,
27,50,21,t,,0.000158,,
15,35,13,t,,0.040564,,
27,50,21,t,,0.000158,,
40,55,62,t,,0.006048,,
15,35,13,t,,0.040564,,
49,60,89,t,,0.002522,,
78,80,162,t,,0.001003,,
67,75,119,t,,0.040564,,
11,30,7,t,,0.001003,,
27,50,21,t,,0.002522,,
40,55,62,t,,0.000158,,
78,80,162,t,,0.006048,,
15,35,13,t,,0.002522,,
49,60,89,t,,0.040564,,
67,75,119,t,,0.001003,,
11,30,7,t,,0.000158,,
27,50,21,t,,0.006048,,
78,80,162,t,,0.040564,,
67,75,119,t,,0.002522,,
49,60,89,t,,0.246753,,
11,30,7,t,,0.006048,,
40,55,62,t,,0.001003,,
15,35,13,t,,0.000158,,
27,50,21,t,,0.000158,,
15,35,13,t,,0.006048,,
78,80,162,t,,0.002522,,
49,60,89,t,,0.001003,,
11,30,7,t,,0.040564,,
40,55,62,t,,0.040564,,
67,75,119,t,,0.002522,,
27,50,21,t,,0.001003,,
15,35,13,t,,0.006048,,
49,60,89,t,,0.000158,,
78,80,162,t,,0.000158,,
67,75,119,t,,0.040564,,
11,30,7,t,,0.002522,,
40,55,62,t,,0.006048,,
67,75,119,t,,0.001003,,
27,50,21,t,,0.006048,,
49,60,89,t,,0.000158,,
15,35,13,t,,0.001003,,
27,50,21,t,,0.002522,,
40,55,62,t,,0.040564,,
78,80,162,t,,0.040564,,
67,75,119,t,,0.006048,,
11,30,7,t,,0.002522,,
11,30,7,t,,0.000158,,
27,50,21,t,,0.001003,,
40,55,62,t,,0.040564,,
67,75,119,t,,0.006048,,
15,35,13,t,,0.000158,,
78,80,162,t,,0.002522,,
49,60,89,t,,0.001003,,
49,60,89,t,,0.040564,,
67,75,119,t,,0.000158,,
78,80,162,t,,0.001003,,
15,35,13,t,,0.002522,,
11,30,7,t,,0.006048,,
27,50,21,t,,0.040564,,
40,55,62,t,,0.000158,,
78,80,162,t,,0.002522,,
27,50,21,t,,0.006048,,
67,75,119,t,,0.001003,,
15,35,13,t,,0.040564,,
11,30,7,t,,0.102564,,
40,55,62,t,,0.002522,,
49,60,89,t,,0.000158,,
40,55,62,t,,0.001003,,
11,30,7,t,,0.006048,,
49,60,89,t,,0.001003,,
78,80,162,t,,0.040564,,
27,50,21,t,,0.002522,,
15,35,13,t,,0.040564,,
67,75,119,t,,0.006048,,
78,80,162,t,,0.000158,,
40,55,62,t,,0.001003,,
11,30,7,t,,0.040564,,
49,60,89,t,,0.006048,,
67,75,119,t,,0.001003,,
15,35,13,t,,0.000158,,
27,50,21,t,,0.002522,,
78,80,162,t,,0.002522,,
67,75,119,t,,0.001003,,
40,55,62,t,,0.000158,,
11,30,7,t,,0.040564,,
49,60,89,t,,0.006048,,
27,50,21,t,,0.000158,,
15,35,13,t,,0.040564,,
67,75,119,t,,0.001003,,
27,50,21,t,,0.006048,,
40,55,62,t,,0.002522,,
49,60,89,t,,0.006048,,
11,30,7,t,,0.002522,,
15,35,13,t,,0.000158,,
78,80,162,t,,0.040564,,
40,55,62,t,,0.001003,,
49,60,89,t,,0.000158,,
78,80,162,t,,0.006048,,
67,75,119,t,,0.002522,,
27,50,21,t,,0.001003,,
15,35,13,t,,0.040564,,
11,30,7,t,,0.000158,,
40,55,62,t,,0.001003,,
11,30,7,t,,0.006048,,
78,80,162,t,,0.002522,,
49,60,89,t,,0.040564,,
67,75,119,t,,0.001003,,
27,50,21,t,,0.040564,,
15,35,13,t,,0.006048,,
40,55,62,t,,0.002522,,
78,80,162,t,,0.000158,,
67,75,119,t,,0.006048,,
15,35,13,t,,0.002522,,
11,30,7,t,,0.000158,,
49,60,89,t,,0.001003,,
27,50,21,t,,0.006048,,
15,35,13,t,,0.000158,,
40,55,62,t,,0.002522,,
67,75,119,t,,0.001003,,
49,60,89,t,,0.006048,,
11,30,7,t,,0.000158,,
27,50,21,t,,0.001003,,
78,80,162,t,,0.002522,,
15,35,13,t,,0.040564,,
27,50,21,t,,0.006048,,
11,30,7,t,,0.001003,,
78,80,162,t,,0.002522,,
67,75,119,t,,0.040564,,
40,55,62,t,,0.000158,,
49,60,89,t,,0.000158,,
40,55,62,t,,0.001003,,
27,50,21,t,,0.006048,,
67,75,119,t,,0.002522,,
49,60,89,t,,0.006048,,
11,30,7,t,,0.001003,,
78,80,162,t,,0.002522,,
15,35,13,t,,0.000158,,
49,60,89,t,,0.002522,,
67,75,119,t,,0.001003,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
